hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-07-12-55-17,2,20,20.000111,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,197.198914,0.000000,50488.621094,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,2051,2292,2398,2489,2600,2715,2781,2851,2917,2974,3016,3077,3129,3209,3283,3404,3487,3665,3878,4041,4063,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,40,20.000006,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.599945,0.000000,52389.636719,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,2492,2579,2633,2682,2753,2794,2855,2950,2994,3018,3062,3133,3185,3236,3325,3444,3513,3679,3891,4036,4142,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,60,19.999992,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.850082,0.000000,52448.968750,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,2490,2573,2627,2678,2753,2792,2851,2948,2993,3017,3061,3134,3185,3238,3332,3450,3537,3748,4088,4273,4451,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,80,19.999996,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.550034,0.000000,52372.960938,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,2494,2585,2636,2685,2760,2797,2856,2952,2995,3019,3062,3139,3189,3237,3328,3441,3508,3672,3894,4089,4143,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,100,20.000008,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.549927,0.000000,52364.781250,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,2492,2584,2636,2685,2759,2800,2859,2954,2997,3026,3066,3142,3193,3244,3332,3446,3510,3688,7537,10713,11057,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,120,19.999992,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.800079,0.000000,52438.171875,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,2490,2577,2631,2680,2758,2795,2855,2950,2993,3018,3060,3131,3181,3231,3317,3440,3506,3699,4015,4264,4353,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,140,20.000015,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.699844,0.000000,52403.160156,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,2492,2576,2629,2679,2751,2792,2853,2949,2993,3018,3062,3142,3195,3243,3334,3454,3544,3738,3985,4163,4243,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,160,20.000000,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.949997,0.000000,52472.550781,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,2489,2575,2628,2678,2750,2793,2851,2948,2992,3016,3060,3130,3181,3233,3312,3432,3497,3674,3930,4067,4177,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,180,19.999985,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.750153,0.000000,52419.039062,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,2496,2582,2632,2682,2754,2795,2852,2950,2994,3019,3061,3130,3184,3236,3323,3445,3513,3699,3948,4107,4274,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,2,200,20.000015,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.749847,0.000000,52426.261719,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,2490,2577,2631,2682,2750,2794,2853,2949,2993,3019,3062,3130,3185,3238,3326,3443,3511,3674,3858,3966,4060,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
