hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-07-12-26-53,0,20,20.000023,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,1919.297852,0.000000,3838.645508,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,198,204,206,208,212,216,223,248,268,283,297,322,358,397,567,1587,2111,2845,5573,6074,6105,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,40,19.999996,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2101.400391,0.000000,4202.800781,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,200,206,208,210,213,218,226,256,273,285,297,319,349,387,536,1575,2122,2856,5515,6153,6225,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,60,20.000000,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2045.900024,0.000000,4091.800049,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,205,211,215,219,238,268,275,281,286,290,295,309,329,362,443,1067,1845,2672,5582,6327,6456,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,80,19.999996,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2046.750366,0.000000,4093.500732,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,209,220,233,261,270,274,278,283,287,289,292,296,303,334,376,582,1411,2416,5514,6165,6362,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,100,20.000008,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2046.449219,0.000000,4092.948486,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,209,220,236,263,270,274,278,283,287,289,292,296,303,332,374,579,1402,2429,5556,6178,6559,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,120,19.999992,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2046.450806,0.000000,4092.951660,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,207,218,227,258,269,273,278,283,287,289,292,297,305,336,379,683,1469,2473,5507,6325,6596,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,140,19.999985,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2046.101562,0.000000,4092.253174,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,208,218,230,261,270,274,278,283,287,289,292,297,305,336,378,635,1409,2381,5592,6489,6652,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,160,20.000015,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2045.498413,0.000000,4090.996826,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,209,221,239,263,270,274,278,283,287,289,292,296,303,333,373,559,1355,2476,5924,6497,6813,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,180,19.999985,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2046.851562,0.000000,4093.753174,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,207,218,228,260,269,273,278,283,287,289,292,296,304,335,379,633,1465,2460,5521,6355,6429,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-26-53,0,200,20.000000,/dev/nvme1n1,3492,sequential,"",0.000000,1.000000,2047.099976,0.000000,4094.199951,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,208,220,238,263,270,274,278,283,287,289,292,296,304,336,377,575,1336,2418,5746,6292,6616,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
