hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-07-12-55-17,1,20,20.000084,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,196.549179,0.000000,50323.738281,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,2062,2302,2410,2495,2601,2715,2782,2851,2918,2976,3016,3075,3128,3206,3283,3404,3479,3658,3836,4006,4061,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,40,20.000006,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.349945,0.000000,52325.734375,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,2495,2585,2641,2686,2759,2799,2862,2954,2996,3022,3064,3141,3190,3238,3329,3447,3520,3707,3920,4063,4228,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,60,19.999992,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.150085,0.000000,52266.019531,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,2498,2592,2649,2691,2764,2802,2867,2956,2997,3028,3067,3150,3201,3246,3335,3449,3522,3687,3917,4157,4286,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,80,19.999996,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.900040,0.000000,52459.558594,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,2491,2577,2632,2682,2752,2793,2850,2946,2990,3014,3056,3121,3175,3231,3316,3442,3512,3690,3941,4248,4329,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,100,20.000008,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.499924,0.000000,52357.281250,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,2492,2579,2631,2681,2753,2796,2854,2950,2995,3022,3065,3142,3195,3246,3338,3456,3540,3729,8015,12399,12605,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,120,19.999992,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.400085,0.000000,52331.968750,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,2494,2588,2645,2687,2762,2798,2860,2952,2995,3022,3063,3145,3193,3240,3330,3446,3517,3680,3855,3987,4067,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,140,20.000015,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.649841,0.000000,52390.609375,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,2493,2578,2632,2680,2753,2794,2856,2951,2994,3019,3062,3139,3188,3238,3330,3449,3519,3680,3834,3990,4051,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,160,20.000000,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.350006,0.000000,52319.351562,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,2495,2584,2637,2685,2759,2798,2860,2953,2996,3022,3065,3145,3194,3241,3331,3447,3515,3683,3900,4033,4064,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,180,19.999985,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.750153,0.000000,52419.191406,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,2493,2578,2630,2681,2754,2795,2852,2950,2993,3019,3062,3132,3184,3236,3324,3444,3510,3681,4008,4334,4400,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,1,200,20.000015,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.399841,0.000000,52328.160156,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,2497,2584,2638,2686,2757,2798,2859,2953,2996,3021,3064,3141,3192,3240,3329,3445,3504,3661,3831,4067,4201,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
