hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-23-53,5,60,60.000137,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.266190,2.099995,53318.292969,538.798767,0.000000,r,50,185,284,305,323,357,399,450,513,548,589,643,717,761,814,895,969,1029,1171,1911,8115,8190,433.297142,14007630.000000,32328,w,7,232,260,275,290,326,374,453,745,1546,2376,3197,3875,3940,4604,5820,5955,6015,6366,6592,6959,7777,1191.306369,3811114162.000000,3199105,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,88,278,0.014293,10800768.000000,755672889
2024-09-11-03-23-53,5,120,59.999992,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.766693,2.100000,53444.273438,540.233398,0.000000,r,50,192,287,308,326,361,403,455,518,554,597,652,721,765,816,893,969,1028,1144,1590,1987,6392,436.875455,14160881.000000,32414,w,54,231,259,273,288,325,372,453,729,1531,2368,3194,3873,3940,4619,5820,5955,6000,6333,6576,6673,6764,1188.301486,3810474091.000000,3206656,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,91,412,0.014710,11010842.000000,748514519
2024-09-11-03-23-53,5,180,59.999985,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.133392,2.116667,53284.796875,542.600159,0.000000,r,50,182,285,307,324,359,399,450,512,547,588,644,713,759,811,887,971,1036,1206,1730,2199,6604,432.333180,14075039.000000,32556,w,80,232,261,276,291,326,374,454,742,1551,2371,3202,3877,3940,4615,5820,5955,6000,6366,6608,7796,10091,1191.867987,3810505647.000000,3197087,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,309,0.014656,10978517.000000,749073594
2024-09-11-03-23-53,5,240,60.000046,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.349838,2.083332,53341.757812,533.649597,0.000000,r,50,185,286,306,324,360,400,451,513,549,593,647,720,761,817,895,971,1023,1197,1572,1855,2242,433.807895,13890095.000000,32019,w,104,232,260,275,290,326,374,453,735,1538,2378,3202,3880,3940,4612,5820,5940,6000,6350,6576,6657,6770,1190.741725,3810978418.000000,3200508,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,335,0.014675,10989980.000000,748871082
2024-09-11-03-23-53,5,300,59.999969,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.716766,2.083334,53177.476562,536.150269,0.000000,r,50,180,286,306,325,359,399,451,511,546,587,642,711,758,811,886,969,1036,1192,1651,4419,10259,431.831919,13891601.000000,32169,w,9,233,262,276,292,328,377,457,758,1557,2391,3201,3874,3931,4574,5820,5955,6000,6333,6592,10222,10264,1194.393109,3810886789.000000,3190647,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,306,0.014625,10958945.000000,749333314
2024-09-11-03-23-53,5,360,60.000000,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.649994,2.083333,53418.382812,534.816650,0.000000,r,50,181,286,307,325,358,398,449,511,546,590,645,717,759,815,892,973,1041,1198,1571,1831,1837,432.337530,13873279.000000,32089,w,90,233,261,275,291,327,375,455,745,1540,2358,3179,3870,3930,4590,5820,5955,6000,6318,6559,6640,6721,1188.975768,3810789801.000000,3205103,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,309,0.014695,11002008.000000,748712394
2024-09-11-03-23-53,5,420,60.000000,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.100006,2.100000,53276.816406,537.866638,0.000000,r,50,184,285,307,324,360,400,453,513,549,592,647,716,758,811,886,965,1033,1164,1458,6426,6442,433.656296,13994956.000000,32272,w,97,233,261,275,291,327,374,454,741,1539,2373,3196,3880,3940,4633,5821,5955,6003,6349,6576,6913,7762,1192.105977,3810696695.000000,3196609,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,338,0.014648,10972852.000000,749078890
2024-09-11-03-23-53,5,480,59.999969,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.150101,2.100001,53288.093750,539.633606,0.000000,r,50,185,287,307,325,360,401,454,514,551,594,649,721,763,817,890,978,1040,1200,1496,1653,1706,435.108963,14087958.000000,32378,w,83,232,260,275,290,326,373,454,738,1548,2376,3208,3873,3940,4613,5820,5955,6015,6334,6578,6673,6721,1191.870861,3810749634.000000,3197284,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,310,0.014649,10972227.000000,749004464
2024-09-11-03-23-53,5,540,60.000031,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.683228,2.083332,53168.171875,533.783081,0.000000,r,50,194,289,310,328,364,404,455,514,550,592,648,718,760,815,888,969,1023,1162,1466,1759,1806,436.201299,13970219.000000,32027,w,8,233,262,276,292,329,376,457,738,1561,2387,3210,3876,3940,4615,5820,5955,6000,6366,6608,10367,12029,1194.606328,3810904090.000000,3190092,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,90,315,0.014627,10958088.000000,749190065
2024-09-11-03-23-53,5,600,60.000000,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.216660,2.083333,53305.285156,537.116638,0.000000,r,50,194,288,308,325,360,401,454,517,552,593,650,720,765,817,897,980,1035,1194,1471,1618,1670,435.865579,14046640.000000,32227,w,100,233,261,275,291,327,374,454,735,1545,2371,3198,3879,3940,4620,5820,5955,6000,6317,6560,8356,8476,1191.510923,3810829640.000000,3198317,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,386,0.014669,10982877.000000,748733653
