hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-12-14-24-46,4,20,20.000195,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,45.249561,0.399996,11596.287109,114.248886,0.000000,538,1781,2221,2441,2609,2932,3244,3604,3966,4183,4417,4687,5135,5377,5648,6319,7009,7483,8861,9495,9495,9509,1442,2877,4160,4499,4791,5299,5723,6117,6535,6769,7040,7366,7810,8111,8506,9099,9824,10431,11694,13049,13776,14183,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,40,20.000004,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.899990,0.450000,12016.447266,122.149979,0.000000,768,1841,2377,2590,2778,3124,3437,3725,4066,4294,4545,4864,5340,5662,6024,6705,7343,7748,9106,9242,9242,9363,1347,3162,4475,4795,5050,5486,5857,6216,6607,6841,7101,7430,7853,8149,8564,9213,9929,10433,11362,12166,12601,12899,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,60,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.800018,0.450000,11982.154297,120.200043,0.000000,716,1835,2353,2591,2810,3137,3444,3811,4185,4401,4625,4942,5327,5646,6053,6832,7550,8269,9369,9827,9827,10728,1356,2883,4388,4773,5073,5526,5908,6277,6696,6937,7212,7535,7973,8270,8668,9289,10047,10612,11643,12458,12933,13295,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,80,20.000004,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,47.349991,0.450000,12124.597656,125.499977,0.000000,332,1803,2325,2524,2721,3068,3335,3705,4099,4293,4573,4914,5345,5630,6007,6527,7236,8021,8935,9174,9174,9291,1199,3072,4407,4715,4973,5411,5808,6198,6630,6873,7163,7502,7944,8231,8618,9240,9999,10534,11426,12313,12694,12730,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,100,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.700016,0.450000,11959.604492,123.800049,0.000000,873,1755,2267,2491,2674,3023,3393,3748,4141,4335,4591,4921,5372,5669,6103,6808,7489,8030,9120,10280,10280,10584,1173,2774,4326,4732,5025,5487,5895,6298,6761,7022,7318,7670,8137,8462,8901,9562,10356,10899,12044,13684,14152,14389,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,120,20.000000,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.450001,0.450000,11903.349609,117.849998,0.000000,801,1820,2343,2540,2746,3086,3419,3771,4204,4458,4727,5071,5513,5775,6179,6942,7647,8085,8931,9990,9990,10684,1178,2873,4324,4680,4961,5442,5856,6261,6707,6966,7264,7628,8108,8452,8883,9548,10343,10871,11961,13301,14434,14470,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,140,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.750019,0.450000,11971.004883,122.100044,0.000000,614,1722,2284,2538,2746,3096,3429,3783,4215,4456,4743,5089,5568,5821,6249,6848,7515,8050,8935,10123,10123,10318,1353,2705,4247,4694,5025,5532,5952,6338,6765,7016,7312,7678,8152,8480,8908,9563,10393,10970,12325,13196,13763,13781,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,160,20.000015,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.099964,0.450000,11813.090820,117.049911,0.000000,506,1709,2261,2486,2678,3009,3345,3682,4101,4396,4693,5074,5575,5842,6216,6938,7558,8069,9052,9396,9396,9588,1232,2897,4389,4749,5028,5502,5920,6324,6782,7055,7361,7747,8237,8543,8962,9699,10588,11129,12281,13364,13934,14454,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,180,19.999985,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.050034,0.450000,11801.258789,116.150085,0.000000,738,1683,2251,2481,2660,3065,3381,3743,4149,4418,4685,5038,5431,5784,6191,6992,7802,8215,8775,8895,8895,9079,1387,2841,4375,4758,5057,5543,5948,6336,6767,7021,7308,7667,8143,8465,8899,9576,10392,10960,11950,13296,15223,15294,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,4,200,20.000015,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.649963,0.450000,11945.090820,122.449905,0.000000,755,1669,2251,2497,2756,3102,3430,3783,4234,4464,4745,5062,5560,5895,6346,7048,7786,8265,8965,9264,9264,10010,1354,2670,4167,4665,5015,5547,5971,6369,6811,7067,7364,7725,8199,8518,8946,9643,10427,10972,12228,14096,14542,14837,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
