hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-12-14-24-46,5,20,20.000139,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,44.199692,0.399997,11318.920898,113.299210,0.000000,757,1806,2221,2466,2677,3012,3385,3733,4157,4401,4690,4999,5498,5826,6222,6905,7590,7783,8986,9627,9627,10075,1540,2951,4177,4520,4813,5346,5807,6233,6692,6952,7249,7630,8134,8487,8925,9600,10354,10885,11985,12759,13149,13231,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,40,20.000004,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,45.849991,0.450000,11741.797852,115.649979,0.000000,751,1903,2398,2626,2808,3143,3481,3850,4247,4482,4749,5035,5446,5777,6155,6779,7675,8341,8966,9192,9192,9963,1457,3187,4531,4860,5121,5554,5939,6313,6743,6990,7282,7631,8103,8406,8822,9474,10203,10691,11575,12277,12583,12686,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,60,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.400017,0.450000,11884.004883,119.600044,0.000000,839,1828,2321,2544,2734,3134,3491,3877,4309,4562,4815,5150,5606,5965,6330,6991,7864,8324,9020,9516,9516,9533,1194,2930,4420,4798,5097,5555,5936,6314,6748,6999,7289,7641,8104,8420,8847,9516,10305,10853,11803,12760,13080,13101,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,80,20.000004,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.799992,0.450000,11985.797852,121.149979,0.000000,617,1838,2327,2554,2765,3118,3435,3781,4202,4434,4712,5019,5542,5828,6191,6888,7761,8142,8909,9341,9341,9665,1406,3005,4417,4747,5011,5466,5865,6265,6714,6977,7272,7618,8075,8400,8822,9499,10223,10731,11814,12606,13488,13749,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,100,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.450016,0.450000,11893.704102,122.400047,0.000000,591,1666,2223,2462,2680,3085,3455,3827,4233,4445,4719,5085,5520,5813,6266,6950,7865,8479,9107,9511,9511,9867,1305,2722,4312,4722,5036,5534,5962,6364,6803,7055,7361,7729,8193,8512,8947,9640,10456,11078,12130,13463,14327,14337,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,120,20.000000,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.349998,0.450000,11877.700195,122.199997,0.000000,845,1771,2344,2558,2756,3121,3416,3736,4118,4352,4612,4948,5395,5695,6062,6894,7453,8172,10951,11401,11401,11649,1344,2807,4342,4694,4972,5448,5865,6267,6720,6974,7276,7644,8141,8490,8938,9647,10479,11059,12575,14442,15542,15893,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,140,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.550018,0.450000,11928.904297,121.950043,0.000000,563,1668,2277,2511,2726,3130,3435,3773,4210,4495,4751,5054,5524,5812,6218,6994,7991,8407,9546,10123,10123,10203,1252,2670,4216,4694,5030,5533,5952,6352,6788,7043,7333,7702,8182,8516,8964,9684,10475,11023,12059,13334,14119,14683,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,160,20.000015,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.349964,0.450000,11867.090820,121.849907,0.000000,695,1809,2293,2522,2740,3072,3421,3768,4180,4392,4693,5026,5433,5784,6226,6925,7877,8382,10006,10647,10647,11320,1417,2860,4417,4761,5032,5511,5920,6317,6751,6997,7288,7645,8117,8445,8891,9613,10507,11057,12205,13770,14436,14502,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,180,19.999985,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,45.200035,0.450000,11576.108398,119.250092,0.000000,540,1702,2303,2532,2748,3123,3502,3882,4276,4555,4833,5166,5714,6062,6461,7243,8106,8863,10221,10252,10252,11315,1176,2806,4409,4812,5121,5624,6054,6455,6913,7179,7489,7865,8374,8718,9159,9874,10752,11354,12663,13981,15245,15856,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,5,200,20.000000,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.700001,0.450000,11964.150391,124.050003,0.000000,813,1647,2229,2480,2678,3062,3376,3752,4169,4447,4705,5088,5570,5820,6175,6839,7541,8074,8922,10282,10282,10729,1415,2651,4160,4645,4993,5550,5987,6389,6835,7086,7383,7742,8237,8559,8990,9676,10527,11065,12042,13847,14426,14748,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
