stat,type,hash,time,exacttime,device,filesizeGib,fill,usedfilesize,pattern,patternDetails,rate,expRate,writepercent,bs,writesTotal,readsTotal,writeIOPS,readIOPS,writesMBs,readsMBs,physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes,phyWriteMBs, phyReadMBs,percentFreeBlocks,softECCError,unalignedIO,maxUserDataEraseCount,minUserDataEraseCount,currentThrottlingStatus,wa
keep,ssd,2024-08-31-18-21-35,21,21.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,8106071,0,387794,0,1514,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,22,22.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,8489772,0,387794,0,1514,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,23,23.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,8875380,0,385370,0,1505,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,24,24.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,9258927,0,383547,0,1498,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,25,25.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,9644928,0,386001,0,1507,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,26,26.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,10029532,0,384604,0,1502,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,27,27.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,10418000,0,388468,0,1517,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,28,28.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,10801938,0,383938,0,1499,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,29,29.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,11188754,0,383938,0,1499,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,30,30.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,11571714,0,382905,0,1495,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,31,31.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,11961142,0,382905,0,1495,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,32,32.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,12343870,0,382472,0,1494,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,33,33.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,12733196,0,389326,0,1520,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,34,34.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,13107893,0,374560,0,1463,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,35,35.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,13491728,0,383972,0,1499,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,36,36.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,13874779,0,382914,0,1495,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,37,37.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,14261117,0,386475,0,1509,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,38,38.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,14636277,0,386475,0,1509,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
