zipf,greedy,kgreedy,2Rgreedy,2RFIFO,optimal
0,4.1798,4.1738,4.1843,4.1826,4.1385
0.1,4.1797,4.1803,4.1843,4.1857,4.0834
0.2,4.1845,4.1913,4.1862,4.1911,4.0485
0.3,4.2077,4.2192,4.2131,4.1978,4.0256
0.4,4.2688,4.2805,4.2427,4.2289,3.9136
0.5,4.3802,4.3864,4.2972,4.2586,3.7414
0.6,4.5319,4.5593,4.3263,4.2565,3.4808
0.7,4.7658,4.7713,4.3774,4.1524,3.1081
0.8,4.8778,4.8828,4.2072,3.8303,2.5824
0.9,4.6603,4.6709,3.7941,3.1268,1.9454
1,3.9399,3.9345,3.4284,2.2671,1.3343
